case_id,activity,enable_time,start_time,end_time,resource
0,A_SUBMITTED,2026-03-04 14:21:19.067788+00:00,2026-03-04 14:21:19.067788+00:00,2026-03-04 14:21:19.067788+00:00,112.0
0,A_PARTLYSUBMITTED,2026-03-04 14:21:19.067788+00:00,2026-03-04 14:21:19.067788+00:00,2026-03-04 14:21:19.067788+00:00,10912.0
0,A_PREACCEPTED,2026-03-04 14:21:19.067788+00:00,2026-03-04 14:21:19.067788+00:00,2026-03-04 14:21:19.067788+00:00,GLOBAL
0,W_Complete_application,2026-03-04 14:21:19.067788+00:00,2026-03-04 14:21:19.067788+00:00,2026-03-04 14:32:15.342461+00:00,10862.0
0,W_Complete_application,2026-03-04 14:32:15.342461+00:00,2026-03-04 14:32:15.342461+00:00,2026-03-04 14:34:30.738580+00:00,10939.0
0,W_Complete_application,2026-03-04 14:34:30.738580+00:00,2026-03-04 14:34:30.738580+00:00,2026-03-04 14:39:43.861130+00:00,11019.0
0,W_Complete_application,2026-03-04 14:39:43.861130+00:00,2026-03-04 14:39:43.861130+00:00,2026-03-04 14:41:18.424542+00:00,11111.0
0,W_Complete_application,2026-03-04 14:41:18.424542+00:00,2026-03-04 14:41:18.424542+00:00,2026-03-04 15:06:05.679110+00:00,11000.0
1,A_SUBMITTED,2026-03-04 14:41:55.870660+00:00,2026-03-04 14:41:55.870660+00:00,2026-03-04 14:41:55.870660+00:00,11203.0
1,A_PARTLYSUBMITTED,2026-03-04 14:41:55.870660+00:00,2026-03-04 14:41:55.870660+00:00,2026-03-04 14:41:55.870660+00:00,11119.0
1,W_Process_leads,2026-03-04 14:41:55.870660+00:00,2026-03-04 14:41:55.870660+00:00,2026-03-04 14:41:59.012475+00:00,10971.0
1,A_PREACCEPTED,2026-03-04 14:41:59.012475+00:00,2026-03-04 14:41:59.012475+00:00,2026-03-04 14:41:59.012475+00:00,11180.0
1,W_Complete_application,2026-03-04 14:41:59.012475+00:00,2026-03-04 14:41:59.012475+00:00,2026-03-04 14:42:06.624001+00:00,10889.0
1,A_ACCEPTED,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,11001.0
1,O_SELECTED,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,11120.0
1,A_FINALIZED,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,11202.0
1,O_CREATED,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,10913.0
1,O_SENT,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,10188.0
1,W_Follow_up_quotations,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:06.624001+00:00,2026-03-04 14:42:10.453740+00:00,10809.0
1,W_Follow_up_quotations,2026-03-04 14:42:10.453740+00:00,2026-03-04 14:42:10.453740+00:00,2026-03-04 14:45:11.929683+00:00,10779.0
2,A_SUBMITTED,2026-03-04 14:43:02.827623+00:00,2026-03-04 14:43:02.827623+00:00,2026-03-04 14:43:02.827623+00:00,11201.0
2,A_PARTLYSUBMITTED,2026-03-04 14:43:02.827623+00:00,2026-03-04 14:43:02.827623+00:00,2026-03-04 14:43:02.827623+00:00,10863.0
2,A_PREACCEPTED,2026-03-04 14:43:02.827623+00:00,2026-03-04 14:43:02.827623+00:00,2026-03-04 14:43:02.827623+00:00,10629.0
2,W_Complete_application,2026-03-04 14:43:02.827623+00:00,2026-03-04 14:43:02.827623+00:00,2026-03-04 14:43:06.969567+00:00,10880.0
2,A_ACCEPTED,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,10982.0
2,A_FINALIZED,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,11049.0
2,O_CREATED,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,10859.0
2,O_SENT,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,11200.0
2,W_Follow_up_quotations,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:06.969567+00:00,2026-03-04 14:43:10.609805+00:00,11169.0
